Long,Lat,Observer,GeneralCondition,Species,OtherSpecies,TreeHeight,TreeDBH1,TreeDBH2,TreeDBH3,TreeDBH4,LengthCWD,CrownDensity,DeadBranches,EpicormicGrowth,EpicormicPostFire,NoHollows,LeafDiscolouration,AvgPsyllidTree,AvgPsyllidRegen,PresenceTreeShrubs,PresenceReproduction,Comments,PlotID,TreeID,GlobalID,NoMistletoe,DeadTrees,CreationDate,Creator,EditDate,Editor,DateCreated
149.1682407,-35.180298,Ec,,Eucalyptus melliodora,,15,84,,,,,5,3,,,2,,,,,,,TN_6_C,,{ed16d4ce-a179-4d30-86e1-2cb009a25abc},0,,19:35.1,brett.howland_ACTGOV,19:35.1,brett.howland_ACTGOV,20/05/2020 2:00
149.1683828,-35.18035133,Ec,,Eucalyptus blakelyi,,14,91,,,,,1,1,,,8,,,,,,,TN_6_C,,{eb36a674-8b77-45c0-99d9-4c08cfd90b54},0,,19:38.8,brett.howland_ACTGOV,19:38.8,brett.howland_ACTGOV,20/05/2020 2:00
149.1669107,-35.18236783,Ec,,Eucalyptus rossii,,14,79,,,,,1,1,,,2,,,,,,,TN_8_C,,{690add0d-8f53-45d8-a116-f6fe956b5b30},0,,19:42.6,brett.howland_ACTGOV,19:42.6,brett.howland_ACTGOV,20/05/2020 2:00
149.1708372,-35.18090467,EC,,Eucalyptus melliodora,,17,114,,,,,7,4,,,5,,,,,,,TN_TreeD,,{6f2f6b0a-0889-4295-bb13-e6f4897678d3},0,,19:49.8,brett.howland_ACTGOV,19:49.8,brett.howland_ACTGOV,20/05/2020 2:00
149.1709442,-35.18060483,Ec,,Eucalyptus melliodora,,18,97,,,,,7,4,,,1,,,,,,,TN_TreeD,,{d8c9b54f-3fde-4e46-a34a-c9c3b45d3ce8},0,,19:56.0,brett.howland_ACTGOV,19:56.0,brett.howland_ACTGOV,20/05/2020 2:00
149.1674517,-35.18240917,Ec,,Other species,Unknown dead,14,72,,,,,1,1,,,8,,,,,,,TN_8_C,,{f11ffa19-363f-4e8b-8ba7-af0e598636b3},0,6,27:28.1,brett.howland_ACTGOV,27:28.1,brett.howland_ACTGOV,20/05/2020 2:00
149.1671755,-35.18253467,Ec,,Eucalyptus blakelyi,,11,65,47,,,,3,3,,,3,,,,,,,TN_8_C,,{446087ad-e738-4e1d-85f1-d8c8ba9435bc},0,,27:33.8,brett.howland_ACTGOV,27:33.8,brett.howland_ACTGOV,20/05/2020 2:00
149.1695489,-35.18352414,Ec,,Eucalyptus melliodora,,17,93,,,,,5,4,,,7,,,,,,,TN_9_C,,{93e7342d-c028-4af4-8db0-d9a559407df9},0,,38:49.6,brett.howland_ACTGOV,38:49.6,brett.howland_ACTGOV,20/05/2020 2:00
149.169217,-35.18613517,Ec,,Eucalyptus melliodora,,14,93,,,,,1,1,,,12,,,,,,,TN_10_C,,{67ee5a30-b182-42a0-b027-8a7ec655bcbe},0,,48:24.0,brett.howland_ACTGOV,48:24.0,brett.howland_ACTGOV,20/05/2020 2:00
149.1690964,-35.18627637,Ec,,Other species,Unknown dead,9,47,143,28,,,1,1,,,6,,,,,,,TN_10_C,,{1bfb69c9-1494-403b-8b37-6f0f1267446e},0,6,50:42.7,brett.howland_ACTGOV,50:42.7,brett.howland_ACTGOV,20/05/2020 2:00
149.1697452,-35.191778,Ec,,Eucalyptus melliodora,,11,113,,,,,7,4,,,7,,,,,,,TE_1_C,,{7497b958-91f8-437e-b2fe-b6218e36560f},0,,07:40.4,brett.howland_ACTGOV,07:40.4,brett.howland_ACTGOV,21/05/2020 2:00
149.1700035,-35.19194467,EC,,Eucalyptus melliodora,,24,119,,,,,5,3,,,1,,,,,,,TE_1_C,,{3dc13450-0232-433b-967c-82e3ae569c47},0,,12:00.9,brett.howland_ACTGOV,12:00.9,brett.howland_ACTGOV,21/05/2020 2:00
149.1700375,-35.19170317,Ec,,Other species,Unknown dead,9,84,,,,,1,1,,,9,,,,,,,TE_1_C,,{c7c672b6-dcae-4f5a-b54b-a96581fa6dfa},0,6,15:29.3,brett.howland_ACTGOV,15:29.3,brett.howland_ACTGOV,21/05/2020 2:00
149.1701148,-35.19167217,Ec,,Eucalyptus blakelyi,,14,104,,,,,5,3,,,8,,,,,,,TE_1_C,,{dd62b172-a971-4e91-8950-2254cafc7326},0,,19:36.9,brett.howland_ACTGOV,19:36.9,brett.howland_ACTGOV,21/05/2020 2:00
149.1690023,-35.19441783,Ec,,Eucalyptus rossii,,18,117,,,,,5,3,,,15,,,,,,,TE_2_C,,{f091a569-5859-4460-8e92-c4b10c7b2a44},1,,32:29.0,brett.howland_ACTGOV,32:29.0,brett.howland_ACTGOV,21/05/2020 2:00
149.1686,-35.19430133,EC,,Eucalyptus blakelyi,,11,73,,,,,3,2,,,3,,,,,,,TE_2_C,,{59ece5b1-fe1f-4fe3-a828-a78b341069fa},0,,36:10.4,brett.howland_ACTGOV,36:10.4,brett.howland_ACTGOV,21/05/2020 2:00
149.1682107,-35.194374,Ec,,Eucalyptus blakelyi,,14,109,,,,,5,3,,,5,,,,,,,TE_2_C,,{63c05a29-3c7a-4ab2-a964-7284cf414fad},0,,40:50.6,brett.howland_ACTGOV,40:50.6,brett.howland_ACTGOV,21/05/2020 2:00
149.1681362,-35.19464894,Ec,,Eucalyptus blakelyi,,15,100,,,,,3,2,,,2,,,,,,,TE_2_C,,{a628ea25-8a4d-4681-b544-a58ccd5c0273},0,,44:57.7,brett.howland_ACTGOV,44:57.7,brett.howland_ACTGOV,21/05/2020 2:00
149.1762438,-35.19610833,EC,,Eucalyptus blakelyi,,20,122,,,,,1,1,,,9,,,,,,,TE_10_C,,{07f3a29e-d39c-4d7a-a9d9-0532a4a3604e},2,,02:59.3,brett.howland_ACTGOV,02:59.3,brett.howland_ACTGOV,21/05/2020 2:00
149.1770808,-35.1961535,EC,,Eucalyptus blakelyi,,7,48,,,,,5,4,,,0,,,,,,,TE_10_C,,{de00ec4d-6b12-4c75-9dfd-1d54f363ecf2},8,,09:59.3,brett.howland_ACTGOV,09:59.3,brett.howland_ACTGOV,21/05/2020 2:00
149.1770092,-35.19609,Ec,,Eucalyptus blakelyi,,15,104,,,,,5,3,,,6,,,,,,,TE_10_C,,{f7ec3a89-bd75-44ef-8006-8a9cf36ab9ff},8,,15:07.0,brett.howland_ACTGOV,15:07.0,brett.howland_ACTGOV,21/05/2020 2:00
149.1768313,-35.19824616,Ec,,Eucalyptus blakelyi,,8,103,,,,,1,1,,,1,,,,,,,TE_4_C,,{6ccbf591-73f6-4895-a263-80dd44aa1785},0,,31:01.5,brett.howland_ACTGOV,31:01.5,brett.howland_ACTGOV,21/05/2020 2:00
149.1773743,-35.19818483,Ec,,Eucalyptus blakelyi,,13,89,,,,,5,3,,,0,,,,,,,TE_4_C,,{f5ebeebc-153c-475c-afde-cec4bfde8975},0,,33:57.0,brett.howland_ACTGOV,33:57.0,brett.howland_ACTGOV,21/05/2020 2:00
149.1763695,-35.20135567,Ec,,Eucalyptus blakelyi,,8,39,,,,,9,4,,,0,,,,,,,TE_8_C,,{ce1c2e5d-8351-4cb4-abcb-b636f3d98321},0,,43:51.6,brett.howland_ACTGOV,43:51.6,brett.howland_ACTGOV,21/05/2020 2:00
149.1761872,-35.20151265,Ec,,Eucalyptus melliodora,,11,85,,,,,5,3,,,2,,,,,,,TE_8_C,,{cdecf7f9-091c-4e88-8291-53ce3aa20980},0,,46:27.9,brett.howland_ACTGOV,46:27.9,brett.howland_ACTGOV,21/05/2020 2:00
149.1764448,-35.20143647,EC,,Eucalyptus blakelyi,,6,39,,,,,5,5,,,0,,,,,,,TE_8_C,,{3a1d87b1-87ad-46f1-9cec-22f1bedc34c4},0,,48:31.1,brett.howland_ACTGOV,48:31.1,brett.howland_ACTGOV,21/05/2020 2:00
149.1765049,-35.20110978,Ec,,Eucalyptus melliodora,,11,90,,,,,3,3,,,0,,,,,,,TE_8_C,,{9b621375-2a34-4ff9-9127-4bede257d171},0,,50:42.6,brett.howland_ACTGOV,50:42.6,brett.howland_ACTGOV,21/05/2020 2:00
149.1766309,-35.20120559,Ec,,Eucalyptus melliodora,,18,157,,,,,5,3,,,7,,,,,,,TE_8_C,,{b76fd7a8-95ae-4d0b-885f-b7d548215a0c},33,,56:28.3,brett.howland_ACTGOV,56:28.3,brett.howland_ACTGOV,21/05/2020 2:00
149.1773201,-35.19962444,EC,,Eucalyptus melliodora,,13,103,,,,,5,4,,,0,,,,,,,TE_6_C,,{e10cfa0d-8a05-480f-bc65-63bc467dc87b},0,,06:08.2,brett.howland_ACTGOV,06:08.2,brett.howland_ACTGOV,21/05/2020 2:00
149.1774141,-35.19941742,Ec,,Eucalyptus blakelyi,,13,106,,,,,5,3,,,2,,,,,,,TE_6_C,,{50449773-79ad-4b30-839e-b8064fd7a24c},1,,07:57.9,brett.howland_ACTGOV,07:57.9,brett.howland_ACTGOV,21/05/2020 2:00
149.1774141,-35.19941742,Ec,,Eucalyptus blakelyi,,13,106,,,,,5,3,,,2,,,,,,,TE_6_C,,{7ce68fa4-c0d2-4616-8db6-425dd9777d14},1,,09:05.6,brett.howland_ACTGOV,09:05.6,brett.howland_ACTGOV,21/05/2020 2:00
149.1777275,-35.19943483,Ec,,Eucalyptus blakelyi,,20,127,,,,,3,2,,,7,,,,,,,TE_6_C,,{c197a77d-83cb-45ee-bae5-96b3d50167a8},0,,12:03.5,brett.howland_ACTGOV,12:03.5,brett.howland_ACTGOV,21/05/2020 2:00
149.1727231,-35.20011353,Ec,,Eucalyptus melliodora,,20,122,,,,,7,3,,,3,,,,,,,TE_7_C,,{331bc269-0bf0-4f1c-a532-3ecb9688d591},0,,26:43.3,brett.howland_ACTGOV,26:43.3,brett.howland_ACTGOV,21/05/2020 2:00
149.1715903,-35.20086063,Ec,,Other species,Unknown dead,13,114,,,,,1,1,,,5,,,,,,,TE_7_C,,{f28fcead-78db-4c8e-868b-76ec3de452b2},0,6,29:36.0,brett.howland_ACTGOV,29:36.0,brett.howland_ACTGOV,21/05/2020 2:00
149.1737316,-35.20083618,EC,,Eucalyptus blakelyi,,8,78,,,,,5,4,,,1,,,,,,,TE_TreeA,,{3db46e34-c5e4-4ee6-aeed-365bce874a35},0,,35:16.2,brett.howland_ACTGOV,35:16.2,brett.howland_ACTGOV,21/05/2020 2:00
149.1753887,-35.2105325,TO,,Eucalyptus mannifera,,11,41,,,,,7,4,,,3,,,,,,,,,{5de4d228-5a47-4a2e-a695-d0f1acfe6277},0,,32:12.2,brett.howland_ACTGOV,32:12.2,brett.howland_ACTGOV,25/05/2020 2:00
149.1753618,-35.21041817,To,,Eucalyptus mannifera,,,112,,,,,7,3,,,3,,,,,,,,,{d791f086-2239-4267-afbe-4328db91747e},0,,34:02.2,brett.howland_ACTGOV,34:02.2,brett.howland_ACTGOV,25/05/2020 2:00
149.1754732,-35.210411,To,,Other species,Dead,12,76,,,,,1,1,,,6,,,,,,,,,{e3c695ed-77a7-49fe-a596-5bf81d7edda0},0,6,37:34.4,brett.howland_ACTGOV,37:34.4,brett.howland_ACTGOV,25/05/2020 2:00
149.1754557,-35.210478,TO,,Eucalyptus mannifera,,11,48,,,,,7,4,,,2,,,,,,,,,{310183d9-56ec-42b8-a56e-02e98c27a371},0,,40:05.0,brett.howland_ACTGOV,40:05.0,brett.howland_ACTGOV,25/05/2020 2:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
